recording_id,start_time,end_time,meeting_id
0,2020-01-06 08:00:00,2020-01-06 09:05:00,0
1,2020-01-06 09:05:00,2020-01-06 09:30:00,0
2,2020-01-13 08:00:00,2020-01-13 09:30:00,1
3,2020-01-20 08:00:00,2020-01-20 09:30:00,2
4,2020-01-27 08:00:00,2020-01-27 08:43:00,3
5,2020-01-27 08:43:00,2020-01-27 09:30:00,3
6,2020-02-03 08:00:00,2020-02-03 09:30:00,4
7,2020-02-10 08:00:00,2020-02-10 08:33:00,5
8,2020-02-10 08:33:00,2020-02-10 09:30:00,5
9,2020-02-17 08:00:00,2020-02-17 09:28:00,6
10,2020-02-17 09:28:00,2020-02-17 09:30:00,6
11,2020-02-24 08:00:00,2020-02-24 09:30:00,7
12,2020-03-02 08:00:00,2020-03-02 08:57:00,8
13,2020-03-02 08:57:00,2020-03-02 09:22:00,8
14,2020-03-02 09:22:00,2020-03-02 09:30:00,8
15,2020-03-09 08:00:00,2020-03-09 09:11:00,9
16,2020-03-09 09:11:00,2020-03-09 09:25:00,9
17,2020-03-09 09:25:00,2020-03-09 09:30:00,9
18,2020-03-16 08:00:00,2020-03-16 08:19:00,10
19,2020-03-16 08:19:00,2020-03-16 09:30:00,10
20,2020-03-23 08:00:00,2020-03-23 08:19:00,11
21,2020-03-23 08:19:00,2020-03-23 08:29:00,11
22,2020-03-23 08:29:00,2020-03-23 09:30:00,11
23,2020-03-30 08:00:00,2020-03-30 08:05:00,12
24,2020-03-30 08:05:00,2020-03-30 09:30:00,12
25,2020-04-06 08:00:00,2020-04-06 09:30:00,13
26,2020-04-13 08:00:00,2020-04-13 09:13:00,14
27,2020-04-13 09:13:00,2020-04-13 09:23:00,14
28,2020-04-13 09:23:00,2020-04-13 09:30:00,14
29,2020-04-20 08:00:00,2020-04-20 08:52:00,15
30,2020-04-20 08:52:00,2020-04-20 09:13:00,15
31,2020-04-20 09:13:00,2020-04-20 09:28:00,15
32,2020-04-20 09:28:00,2020-04-20 09:30:00,15
33,2020-04-27 08:00:00,2020-04-27 09:05:00,16
34,2020-04-27 09:05:00,2020-04-27 09:30:00,16
35,2020-05-04 08:00:00,2020-05-04 08:47:00,17
36,2020-05-04 08:47:00,2020-05-04 09:09:00,17
37,2020-05-04 09:09:00,2020-05-04 09:26:00,17
38,2020-05-04 09:26:00,2020-05-04 09:30:00,17
39,2020-05-11 08:00:00,2020-05-11 09:14:00,18
40,2020-05-11 09:14:00,2020-05-11 09:30:00,18
41,2020-05-18 08:00:00,2020-05-18 08:15:00,19
42,2020-05-18 08:15:00,2020-05-18 09:03:00,19
43,2020-05-18 09:03:00,2020-05-18 09:17:00,19
44,2020-05-18 09:17:00,2020-05-18 09:30:00,19
45,2020-05-25 08:00:00,2020-05-25 09:30:00,20
46,2020-06-01 08:00:00,2020-06-01 09:30:00,21
47,2020-06-08 08:00:00,2020-06-08 09:30:00,22
48,2020-06-15 08:00:00,2020-06-15 08:44:00,23
49,2020-06-15 08:44:00,2020-06-15 09:30:00,23
50,2020-06-22 08:00:00,2020-06-22 09:02:00,24
51,2020-06-22 09:02:00,2020-06-22 09:27:00,24
52,2020-06-22 09:27:00,2020-06-22 09:29:00,24
53,2020-06-22 09:29:00,2020-06-22 09:30:00,24
54,2020-07-09 13:00:00,2020-07-09 13:34:00,25
55,2020-07-09 13:34:00,2020-07-09 13:56:00,25
56,2020-07-09 13:56:00,2020-07-09 13:58:00,25
57,2020-07-09 13:58:00,2020-07-09 14:00:00,25
58,2020-07-16 13:00:00,2020-07-16 13:44:00,26
59,2020-07-16 13:44:00,2020-07-16 14:00:00,26
60,2020-07-23 13:00:00,2020-07-23 14:00:00,27
61,2020-07-30 13:00:00,2020-07-30 13:40:00,28
62,2020-07-30 13:40:00,2020-07-30 14:00:00,28
63,2020-08-06 13:00:00,2020-08-06 13:38:00,29
64,2020-08-06 13:38:00,2020-08-06 13:49:00,29
65,2020-08-06 13:49:00,2020-08-06 14:00:00,29
66,2020-08-13 13:00:00,2020-08-13 13:33:00,30
67,2020-08-13 13:33:00,2020-08-13 14:00:00,30
68,2020-08-20 13:00:00,2020-08-20 13:16:00,31
69,2020-08-20 13:16:00,2020-08-20 13:40:00,31
70,2020-08-20 13:40:00,2020-08-20 13:53:00,31
71,2020-08-20 13:53:00,2020-08-20 14:00:00,31
72,2020-08-27 13:00:00,2020-08-27 13:14:00,32
73,2020-08-27 13:14:00,2020-08-27 14:00:00,32
74,2020-09-03 13:00:00,2020-09-03 13:35:00,33
75,2020-09-03 13:35:00,2020-09-03 14:00:00,33
